 Event ID : 27
-181.605 -172.894 215.424 83 3683.81
-181.605 -167.362 215.424 83 5450.55
-166.88 -164.393 218.048 84 363.067
-171.788 -167.362 218.048 84 895.058
-176.696 -164.393 218.048 84 12042.8
-176.696 -158.861 218.048 84 364.794
-171.788 -155.891 220.672 85 1430.97
-166.88 -158.861 223.296 86 13678.6
-161.972 -155.891 225.92 87 4848.96
-161.972 -150.359 225.92 87 8032.5
-157.064 -147.39 228.544 88 10624.6
-157.064 -141.858 231.168 89 1702.98
-147.247 -141.858 233.792 90 4660.43
-152.155 -138.889 233.792 90 4407.43
-142.339 -138.889 236.416 91 1651.31
-142.339 -133.357 236.416 91 6723.36
-137.431 -124.855 241.664 93 4451.87
-137.431 -130.387 241.664 93 7926.11
-127.614 -124.855 244.288 94 950.381
-132.522 -121.886 244.288 94 7935.21
-122.706 -121.886 246.912 95 635.76
-132.522 -116.354 246.912 95 279.912
-122.706 -116.354 249.536 96 9512.9
-127.614 -113.385 249.536 96 1144.68
-117.798 -113.385 252.16 97 4703.57
-117.798 -107.853 252.16 97 5338.32
-112.889 -104.883 257.408 99 7213.76
-112.889 -99.3513 257.408 99 1202.11
-103.073 -99.3513 260.032 100 3077.44
-107.981 -96.3821 260.032 100 3438.61
-100.619 -94.9652 262.656 101 1063.63
-95.7106 -92.0637 265.28 102 221.933
-98.1647 -90.7145 265.28 102 3367.41
-100.619 -92.0637 265.28 102 2022.39
-90.8024 -86.4639 267.904 103 981.278
-93.2565 -87.813 267.904 103 2506.84
-95.7106 -86.4639 267.904 103 1600.12
-98.1647 -87.813 267.904 103 1349.18
-93.2565 -82.2132 270.528 104 277.588
-90.8024 -83.5624 270.528 104 3088.07
-88.3482 -82.2132 270.528 104 1680.38
-88.3482 -79.3117 273.152 105 1448.53
-85.8941 -77.9626 273.152 105 4551.54
-83.44 -79.3117 275.776 106 1224.18
-80.9859 -77.9626 275.776 106 438.339
-80.9859 -75.0611 275.776 106 4765.76
-83.44 -73.7119 275.776 106 931.889
-85.8941 -75.0611 275.776 106 399.998
-78.5318 -70.8104 278.4 107 3537.83
-78.5318 -73.7119 278.4 107 2038.65
-76.0777 -66.5598 281.024 108 672.15
-76.0776 -69.4613 281.024 108 2350.3
-73.6235 -65.2106 281.024 108 787.989
-71.1694 -66.5598 281.024 108 1153.3
-73.6235 -70.8104 283.648 109 118.572
-68.7153 -62.3091 283.648 109 4021.83
-68.7153 -65.2106 283.648 109 1066.81
-71.1694 -60.9599 286.272 110 128.555
-66.2612 -60.9599 286.272 110 3621.19
-63.8071 -62.3091 286.272 110 138.567
-63.8071 -53.8078 286.272 110 114.311
-66.2612 -58.0584 286.272 110 1569.53
-58.8988 -56.7093 288.896 111 271.276
-61.3529 -58.0584 288.896 111 688.017
-61.353 -52.4586 288.896 111 380.514
-63.8071 -56.7093 288.896 111 2439.33
-56.4447 -49.5571 291.52 112 2017.05
-56.4447 -52.4586 291.52 112 1922.35
-58.8988 -53.8078 291.52 112 2234.87
-51.5365 -49.5571 291.52 112 132.867
-53.9906 -48.208 294.144 113 1885.51
-53.9906 -45.3065 294.144 113 144.324
-49.0823 -45.3065 296.768 114 1827.52
-46.6282 -43.9573 296.768 114 922.251
-51.5365 -43.9573 296.768 114 1066
-46.6282 -41.0558 299.392 115 2777.26
-44.1741 -39.7067 299.392 115 2580.14
-44.1741 -36.8052 299.392 115 1043.66
-49.0823 -39.7067 302.016 116 124.897
-41.72 -32.5545 302.016 116 271.934
-39.2659 -31.2053 302.016 116 498.633
-41.72 -35.456 302.016 116 2707.04
-39.2659 -36.8052 302.016 116 1180.28
-36.8118 -32.5545 304.64 117 3023.41
-36.8118 -35.456 304.64 117 645.08
-26.9953 -26.9547 307.264 118 272.908
-29.4494 -28.3038 307.264 118 403.504
-31.9035 -26.9547 307.264 118 2581.53
-34.3577 -28.3038 307.264 118 2117.29
-34.3577 -31.2053 307.264 118 1454.54
-31.9035 -24.0532 309.888 119 919.092
-26.9953 -24.0532 309.888 119 3378.04
-29.4494 -22.704 309.888 119 2213.01
-24.5412 -22.704 312.512 120 352.93
-24.5412 -19.8025 312.512 120 2009.17
-26.9953 -18.4534 312.512 120 120.551
-19.6329 -14.2027 315.136 121 3135.75
-22.0871 -18.4534 315.136 121 2957.16
-22.0871 -15.5519 315.136 121 1235.27
-14.7247 -14.2027 317.76 122 618.281
-17.1788 -15.5519 317.76 122 1369.82
-19.6329 -19.8025 317.76 122 132.653
-19.6329 -11.3012 320.384 123 240.822
24.5412 11.3012 330.88 127 723.021
22.0871 9.95207 330.88 127 930.898
26.9953 15.5519 330.88 127 112.897
26.9953 9.95207 330.88 127 106.661
29.4494 14.2027 330.88 127 1162.32
31.9035 15.5519 330.88 127 619.222
34.3577 14.2027 330.88 127 517.507
36.8118 15.5519 330.88 127 910.268
36.8118 18.4534 330.88 127 443.413
19.6329 11.3012 330.88 127 624.307
49.0824 19.8025 333.504 128 416.921
61.3529 26.9547 333.504 128 636.67
56.4447 26.9547 333.504 128 238.4
61.3529 24.0532 333.504 128 131.056
53.9906 22.704 333.504 128 789.483
49.0824 22.704 333.504 128 694.687
44.1741 19.8025 333.504 128 834.99
41.72 18.4534 333.504 128 999.899
29.4494 11.3012 333.504 128 121.364
24.5412 14.2027 333.504 128 136.086
90.8024 35.456 336.128 129 120.536
63.8071 28.3038 336.128 129 697.471
76.0776 32.5545 336.128 129 830.238
73.6235 31.2053 336.128 129 728.935
71.1694 32.5545 336.128 129 254.345
93.2565 36.8052 336.128 129 129.935
71.1694 26.9547 336.128 129 145.192
68.7153 31.2053 336.128 129 654.251
68.7153 28.3038 336.128 129 2653.84
66.2612 26.9547 336.128 129 1249.03
56.4447 24.0532 336.128 129 1436.52
51.5365 24.0532 336.128 129 559.766
46.6282 18.4534 336.128 129 125.408
39.2659 19.8025 336.128 129 123.131
93.2565 39.7067 338.752 130 875.339
58.8988 22.704 338.752 130 130.881
78.5318 31.2053 338.752 130 227.134
80.9859 32.5545 338.752 130 666.813
80.9859 35.456 338.752 130 609.159
83.44 36.8052 338.752 130 397.893
85.8941 35.456 338.752 130 1036.66
88.3482 39.7067 338.752 130 120.377
88.3482 36.8052 338.752 130 1085.9
95.7106 41.0558 338.752 130 769.07
115.344 49.5571 338.752 130 116.474
100.619 43.9573 341.376 131 232.78
127.614 56.8448 341.376 131 270.964
120.252 49.5571 341.376 131 693.705
117.798 48.208 341.376 131 1021.52
112.889 45.3065 341.376 131 826.169
110.435 43.9573 341.376 131 541.458
107.981 45.3065 341.376 131 674.884
105.527 43.9573 341.376 131 765.515
98.1647 39.7067 341.376 131 534.79
100.619 41.0558 341.376 131 622.971
105.527 41.0558 341.376 131 111.385
112.889 48.208 344 132 256.556
122.706 48.208 344 132 528.757
125.16 49.5571 344 132 1160.34
127.614 48.208 344 132 109.425
132.522 48.3434 344 132 528.75
125.16 52.4586 344 132 424.875
103.073 45.3065 344 132 162.113
132.522 53.8755 344 132 2777.54
137.431 56.8448 344 132 1169.48
142.339 53.8755 344 132 1735.83
147.247 62.3768 346.624 133 362.034
157.064 62.3768 346.624 133 2680.27
152.155 53.8755 346.624 133 161.486
161.972 65.3461 346.624 133 4328.11
147.247 56.8448 346.624 133 3414.71
