 Event ID : 6944
-206.146 107.853 29.056 31 245.15
-206.146 113.385 31.552 32 210.6
90.8023 94.9652 34.048 33 212.8
-211.054 116.354 34.048 33 215.5
73.6236 184.364 66.496 46 287.45
88.3483 181.395 83.968 53 346.9
-1.14441e-05 -53.8078 111.424 64 202
98.1647 -181.395 151.36 80 327
-24.5412 36.8052 183.808 93 265.35
-39.2659 175.863 196.288 98 237.6
-39.2659 -158.861 311.104 144 201.7
-24.5412 -223.902 316.096 146 270.4
-24.5412 -218.37 316.096 146 303.9
137.431 45.3742 331.072 152 228.15
-161.972 48.3434 373.504 169 378.9
157.064 90.85 388.48 175 226.35
98.1647 62.3091 403.456 181 255.35
-19.6329 175.863 418.432 187 205.6
-19.6329 -141.858 448.384 199 326.2
142.339 -121.886 468.352 207 209.25
142.339 -116.354 470.848 208 379.45
63.8071 189.897 483.328 213 338.9
63.807 184.364 485.824 214 249.95
-137.431 -31.2053 493.312 217 217
-103.073 -133.357 495.808 218 283.3
-149.701 7.05056 508.288 223 247.25
225.779 96.3821 515.776 226 423.4
14.7247 -167.362 520.768 228 241
-46.6282 75.0611 530.752 232 237.5
-157.064 -45.3742 535.744 234 436.25
201.238 167.362 540.736 236 222.05
-166.88 -56.8448 568.192 247 245.95
-9.81647 181.395 585.664 254 311.75
-49.0824 -147.39 658.048 283 213.2
-44.1741 -150.359 660.544 284 253.25
-127.614 198.398 660.544 284 266.3
-39.2659 -147.39 663.04 285 241.35
-127.614 192.866 663.04 285 246.55
157.064 113.385 675.52 290 221.3
166.88 130.387 678.016 291 418.4
171.788 138.889 678.016 291 244.4
215.962 -130.387 730.432 312 235.1
-107.981 -96.3821 735.424 314 436
-230.687 65.3461 735.424 314 248.35
-235.595 62.3768 737.92 315 262
39.2659 147.39 780.352 332 254.3
44.1741 155.891 782.848 333 246.6
24.5412 240.904 782.848 333 252.1
24.5412 235.372 782.848 333 229.6
-98.1647 130.387 810.304 344 200.9
9.81647 -141.858 892.672 377 234.5
63.8071 218.37 900.16 380 247.25
-98.1647 -226.871 987.52 415 373
-98.1647 -232.403 987.52 415 213.25
-93.2565 -223.902 990.016 416 409.55
78.5318 -133.221 997.504 419 254.65
-98.1647 -209.868 1004.99 422 321.55
-39.2659 -181.395 1014.98 426 232.15
-26.9953 -117.568 1032.45 433 414.25
-26.9953 -126.069 1032.45 433 779.4
-26.9953 -111.968 1032.45 433 350.2
-26.9953 -109.066 1032.45 433 356.75
-29.4494 -124.72 1032.45 433 473.1
-22.0871 -128.97 1032.45 433 246.6
-22.0871 -134.57 1032.45 433 225.05
-31.9035 -128.97 1032.45 433 385.75
-26.9953 -120.469 1032.45 433 582.25
-34.3576 -150.359 1032.45 433 1015.7
-29.4494 -141.858 1032.45 433 3648.5
-29.4494 -147.39 1032.45 433 3242.1
-19.6329 -104.816 1032.45 433 264.3
-22.0871 -126.069 1032.45 433 290.9
-22.0871 -120.469 1032.45 433 387.95
-24.5412 -150.359 1032.45 433 983.75
-22.0871 -117.568 1032.45 433 416.85
-22.0871 -111.968 1032.45 433 393.3
-24.5412 -124.72 1032.45 433 633.5
-24.5412 -113.317 1032.45 433 586.35
-24.5412 -116.218 1032.45 433 639.55
-24.5412 -121.818 1032.45 433 684.1
-22.0871 -109.066 1032.45 433 459.6
-29.4494 -116.218 1034.94 434 297.35
-29.4494 -121.818 1034.94 434 435.6
-34.3577 -138.889 1034.94 434 1519.4
-26.9953 -134.57 1034.94 434 1029.25
-26.9953 -128.97 1034.94 434 968.9
-31.9035 -126.069 1034.94 434 249.15
-24.5412 -138.889 1034.94 434 2004.45
-29.4494 -133.221 1034.94 434 910.55
-29.4494 -130.32 1034.94 434 659.7
-24.5412 -133.221 1034.94 434 588.8
-24.5412 -130.32 1034.94 434 561.65
-34.3577 138.889 1034.94 434 235.3
-19.6329 -82.2132 1034.94 434 390.9
-19.6329 -90.7145 1034.94 434 435.65
-19.6329 -70.8104 1034.94 434 330.9
-19.6329 -96.3143 1034.94 434 334.25
-24.5412 -107.717 1034.94 434 436.45
-17.1788 -75.0611 1034.94 434 359.8
-19.6329 -73.7119 1034.94 434 339.95
-19.6329 -79.3117 1034.94 434 352.05
-17.1788 -69.4613 1034.94 434 343.65
-17.1788 -77.9626 1034.94 434 369.75
-22.0871 -77.9626 1034.94 434 224.95
-22.0871 -83.5624 1034.94 434 330.85
-19.6329 -107.717 1034.94 434 276.75
-17.1788 -66.5598 1034.94 434 275.85
-17.1788 -92.0637 1034.94 434 267.8
-19.6329 -99.2159 1034.94 434 397.5
-31.9035 -134.57 1034.94 434 327.6
-26.9953 -100.565 1034.94 434 238.1
-14.7247 -73.7119 1034.94 434 252.6
-17.1788 -83.5624 1034.94 434 299.6
-14.7247 -70.8104 1034.94 434 240.7
-24.5412 -90.7145 1034.94 434 239.9
-22.0871 -86.4639 1034.94 434 457
-24.5412 -104.816 1034.94 434 462.35
-22.0871 -92.0637 1034.94 434 404.6
-24.5412 -99.2159 1034.94 434 365.15
-22.0871 -94.9652 1034.94 434 471.8
-24.5412 -96.3143 1034.94 434 357.45
-22.0871 -100.565 1034.94 434 554.45
-26.9953 -103.467 1034.94 434 300.65
-22.0871 -103.467 1034.94 434 490.9
-19.6329 -87.813 1034.94 434 453.95
-19.6329 -65.2106 1037.44 435 236.25
-12.2706 -49.5571 1037.44 435 210.2
-17.1788 -86.4639 1037.44 435 306.25
-12.2706 -43.9573 1037.44 435 252.5
-14.7247 -65.2106 1037.44 435 216.6
-24.5412 -189.897 1039.94 436 329.8
-14.7247 -19.8025 1039.94 436 210.7
-22.0871 7.05056 1047.42 439 408.4
22.0871 15.5519 1049.92 440 205.05
46.6282 24.0532 1052.42 441 210.8
39.2659 22.704 1052.42 441 213.3
51.5365 26.9547 1052.42 441 208.75
63.8071 31.2053 1054.91 442 219.15
53.9906 28.3038 1054.91 442 234.6
58.8988 31.2053 1054.91 442 297.6
58.8988 28.3038 1054.91 442 259.35
66.2612 32.5545 1054.91 442 238.2
61.3529 32.5545 1054.91 442 325.25
66.2612 35.456 1057.41 443 261.4
80.9859 41.0558 1057.41 443 323.1
78.5318 36.8052 1057.41 443 295
76.0776 35.456 1057.41 443 288.7
73.6235 36.8052 1057.41 443 328.8
71.1694 35.456 1057.41 443 229.65
78.5318 39.7067 1057.41 443 372.65
76.0776 41.0558 1057.41 443 227.75
73.6235 39.7067 1057.41 443 201.3
103.073 53.8078 1059.9 444 209.1
90.8023 41.0558 1059.9 444 241.75
85.8941 41.0558 1059.9 444 297.65
83.44 39.7067 1059.9 444 292.5
105.527 52.4586 1059.9 444 304.1
93.2565 45.3065 1059.9 444 388.5
95.7106 43.9573 1059.9 444 232.6
100.619 49.5571 1059.9 444 388.65
98.1647 48.208 1059.9 444 409.7
100.619 52.4586 1059.9 444 227.7
95.7106 49.5571 1059.9 444 286.7
93.2565 48.208 1059.9 444 304.05
88.3482 45.3065 1059.9 444 246.25
85.8941 43.9573 1059.9 444 253.05
90.8023 43.9573 1059.9 444 350.5
-152.155 -36.8729 1059.9 444 206.75
120.252 52.4586 1062.4 445 232.15
115.344 58.0584 1062.4 445 279.05
122.706 56.7093 1062.4 445 354.45
120.252 58.0584 1062.4 445 427.5
71.1694 -77.9626 1062.4 445 290.65
117.798 56.7093 1062.4 445 404.2
117.798 53.8078 1062.4 445 431.85
110.435 49.5571 1062.4 445 305.55
107.981 48.208 1062.4 445 249.4
105.527 49.5571 1062.4 445 435.55
103.073 48.208 1062.4 445 303.2
98.1647 45.3065 1062.4 445 316.6
120.252 60.9599 1062.4 445 242.2
107.981 53.8078 1062.4 445 324.1
110.435 52.4586 1062.4 445 407.35
112.889 53.8078 1062.4 445 359.65
115.344 52.4586 1062.4 445 291.75
112.889 56.7093 1062.4 445 283.95
127.614 62.3768 1064.9 446 1469.75
